Hogar;Fecha Inicio;Fecha Fin;Obs;En Darklist?;Puede Cambiar?;Log;Cerramiento<>Propduccion;Cambio Realizado
102030,2017-02-10,2017-12-31,"Prueba Laboratorio",false,No permitido cambios,null,null,null
102030,2018-01-02,2018-12-31,"prueba",false,No permitido cambios,null,null,null
102030,2019-09-12,2020-12-31,"Prueba Laboratorio",false,No permitido cambios,null,null,null
102030,2021-01-26,2021-12-31,"prueba",false,No permitido cambios,null,null,null
102030,2022-01-03,2022-12-31,"prueba",false,No permitido cambios,null,null,null
102030,2023-01-17,2023-12-31,"Hogar en periodo de prueba",true,Listo para Cambio,null,null,null
109078,2017-08-07,2017-08-07,"atipico",false,No permitido cambios,null,null,null
109078,2017-08-09,2017-08-09,"atipico",false,No permitido cambios,null,null,null
109078,2018-02-07,2018-02-08,"atipico",false,No permitido cambios,null,null,null
109078,2018-05-11,2018-05-11,"atipico",false,No permitido cambios,null,null,null
109078,2018-05-15,2018-05-16,"atipico",false,No permitido cambios,null,null,null
109078,2018-12-13,2018-12-13,"atipico",false,No permitido cambios,null,null,null
110001,2018-01-17,2018-01-17,"atipico",false,No permitido cambios,null,null,null
110004,2019-01-02,2019-01-03,"atipico",false,No permitido cambios,null,null,null
110004,2019-01-10,2019-01-10,"atipico",false,No permitido cambios,null,null,null
110005,2017-08-17,2017-08-17,"atipico",false,No permitido cambios,null,null,null
110008,2017-09-23,2017-09-23,"atipico",false,No permitido cambios,null,null,null
110012,2018-05-07,2018-05-07,"atipico",false,No permitido cambios,null,null,null
110012,2018-05-11,2018-05-11,"atipico",false,No permitido cambios,null,null,null
110012,2018-12-06,2018-12-06,"atipico",false,No permitido cambios,null,null,null
110016,2018-04-17,2018-04-17,"atipico",false,No permitido cambios,null,null,null
110016,2018-04-18,2018-04-18,"atipico",false,No permitido cambios,null,null,null
110017,2020-03-16,2020-03-16,"atipico",false,No permitido cambios,null,null,null
110021,2018-07-27,2018-07-29,"atipico",false,No permitido cambios,null,null,null
110023,2017-02-23,2017-02-23,"descalibrado",false,No permitido cambios,null,null,null
110023,2017-03-01,2017-03-02,"100% PC",false,No permitido cambios,null,null,null
110028,2018-07-30,2018-07-30,"atipico",false,No permitido cambios,null,null,null
110030,2018-03-12,2018-03-12,"atipico",false,No permitido cambios,null,null,null
110030,2018-03-13,2018-03-13,"atipico",false,No permitido cambios,null,null,null
110030,2019-01-21,2019-01-22,"atipico",false,No permitido cambios,null,null,null
110030,2021-06-23,2021-06-27,"Mala colaboracion",false,No permitido cambios,null,null,null
110031,2017-11-01,2017-11-01,"atipico",false,No permitido cambios,null,null,null
110031,2018-03-02,2018-03-02,"atipico",false,No permitido cambios,null,null,null
110031,2018-03-07,2018-03-08,"atipico",false,No permitido cambios,null,null,null
110034,2018-03-12,2018-03-12,"atipico",false,No permitido cambios,null,null,null
110038,2017-08-30,2017-08-31,"atipico",false,No permitido cambios,null,null,null
110038,2017-09-08,2017-09-08,"atipico",false,No permitido cambios,null,null,null
